,Food,Price
0,CloudTea Oolong Nướng Kem Dừa,"55,000"
1,CloudTea Oolong Nướng Kem Dừa Đá Xay,"55,000"
2,CloudTea Hồng Trà Arabica,"55,000"
3,CloudFee Hạnh Nhân Nướng,"49,000"
4,CloudFee Caramel,"49,000"
5,CloudFee Classic,"49,000"
6,Hi-Tea Yuzu Trân Châu,"49,000"
7,Hi-Tea Dâu Tây Mận Muối Aloe Vera,"49,000"
8,Hi-Tea Đào,"49,000"
9,Hi-Tea Đá Tuyết Xoài Đào,"55,000"
10,Hi-Tea Vải,"49,000"
11,Hi-Tea Đá Tuyết Yuzu Vải,"55,000"
12,Hi-Tea Phúc Bồn Tử Mandarin,"49,000"
13,Hi-Tea Xoài Aloe Vera,"49,000"
14,Cà Phê Sữa Đá,"29,000"
15,Bạc Sỉu,"29,000"
16,Caramel Macchiato Đá,"49,000"
17,Cà Phê Đen Đá,"29,000"
18,Cold Brew Sữa Tươi,"45,000"
19,Latte Đá,"49,000"
20,Americano Đá,"39,000"
21,Cold Brew Truyền Thống,"45,000"
22,Cà Phê Sữa Nóng,"35,000"
23,Cappuccino Đá,"49,000"
24,The Coffee House Sữa Đá,"39,000"
25,Bạc Sỉu Nóng,"35,000"
26,Cà Phê Đen Nóng,"35,000"
27,Caramel Macchiato Nóng,"49,000"
28,Espresso Nóng,"39,000"
29,Cold Brew Phúc Bồn Tử,"45,000"
30,Trà Đào Cam Sả - Đá,"49,000"
31,Trà sữa Oolong Nướng Trân Châu,"55,000"
32,Trà Hạt Sen - Đá,"49,000"
33,Trà Sữa Mắc Ca Trân Châu,"55,000"
34,Hồng Trà Latte Macchiato,"55,000"
35,Hồng Trà Sữa Trân Châu,"55,000"
36,Trà Đen Macchiato,"55,000"
37,Trà Hạt Sen - Nóng,"55,000"
38,Trà Đào Cam Sả - Nóng,"55,000"
39,Trà sữa Oolong Nướng (Nóng),"55,000"
40,Hồng Trà Sữa Nóng,"55,000"
41,Croissant trứng muối,"35,000"
42,Mousse Tiramisu,"35,000"
43,Mochi Kem Dừa Dứa,"19,000"
44,Mochi Kem Xoài,"19,000"
45,Mochi Kem Việt Quất,"19,000"
46,Mousse Passion Cheese,"35,000"
47,Mochi Kem Matcha,"19,000"
48,Mochi Kem Chocolate,"19,000"
49,Mousse Gấu Chocolate,"39,000"
50,Mochi Kem Phúc Bồn Tử,"19,000"
51,Mousse Red Velvet,"35,000"
52,Mít Sấy,"20,000"
53,Bánh Mì Gậy Gà Kim Quất,"25,000"
54,Bánh Mì Gậy Cá Ngừ Mayo,"25,000"
55,Cà Phê Sữa Đá Pack 6 Lon,"84,000"
56,Thùng Cà Phê Sữa Espresso,"336,000"
57,Combo 6 Lon Cà Phê Sữa Espresso,"84,000"
58,Cà Phê Sữa Đá Hòa Tan (10 gói x 22g),"44,000"
59,Cà Phê Hoà Tan Đậm Vị Việt (18 gói x 16 gam),"48,000"
60,Cà Phê Sữa Đá Hòa Tan Túi 25x22G,"99,000"
61,Cà Phê Hòa Tan Đậm Vị Việt Túi 40x16G,"99,000"
62,Cà Phê Rang Xay Original 1 250g,"60,000"
63,Trà Oolong Túi Lọc Tearoma 20x2G,"28,000"
64,Trà Lài Túi Lọc Tearoma 20x2G,"28,000"
65,Trà Sen Túi Lọc Tearoma 20x2G,"28,000"
66,Trà Đào Túi Lọc Tearoma 20x2G,"28,000"
67,Trà Oolong Lá Tearoma 100G,"100,000"
