,Food,Price
0,Sữa Bắp Nếp Thái Sơn,"20,000"
1,Nha Đam Mủ Trôm Thái Sơn,"20,000"
2,Sữa Hạt Sen Mekong Xanh,"20,000"
3,Sữa Gạo Lứt Mekong Xanh,"20,000"
4,Bánh Không ,"10,000"
5,Hủ Tiếu Nam Vang Thành Đạt Nước,"55,000"
6,Hủ Tiếu Nam Vang Thành Đạt Khô,"55,000"
7,Hủ Tiếu Xương ,"55,000"
8,Hủ tíu mì nước Nam Vang,"55,000"
9,Hủ Tíu Tôm + Thịt Bằm,"55,000"
10,Hủ Tíu Mì Thập Cẩm,"55,000"
11,Hủ Tíu Tôm + Trứng,"55,000"
12,Hủ Tíu Mì Tươi Thập Cẩm,"55,000"
13,Hủ Tíu Thập Cẩm,"55,000"
14,Hủ Tíu Xương Ống,"55,000"
15,Hủ Tíu Mì Tươi Đầy Đủ Không Gan,"55,000"
16,Hủ Tíu Mì Đầy Đủ Không Gan,"55,000"
17,Hủ Tíu Tôm + Tim,"65,000"
18,Hủ Tíu Mì Đầy Đủ Không Lòng,"55,000"
19,Hủ Tíu Mì Tươi Đầy Đủ Không Lòng,"55,000"
