,Food,Price
0,Xôi xoài,"38,000"
1,Cơm thố heo xào hương nhu,"55,000"
2,Cơm chiên mắm ruốc,"72,000"
3,Trà sữa thái xanh + trân châu,"30,000"
4,Bún thái hải sản,"70,000"
5,Trà chanh thái xanh,"30,000"
6,Cà ry đỏ tôm,"78,000"
7,Mì tomyum hải sản,"70,000"
8,Gỏi xoài tôm khô,"49,000"
9,Trà sữa thái đỏ + trân châu,"30,000"
10,Cơm chiên trái thơm,"80,000"
11,Padthai,"69,000"
12,Xiên heo nướng,"90,000"
13,Mì tomyum thịt bằm,"55,000"
14,"Bún, mì thêm","10,000"
15,Lẩu thái 1 người,"88,000"
16,Gỏi đu đủ tôm khô ba khía & trứng muối,"78,000"
