,Food,Price
0,COMBO 3: Bún Thái cay (Bún Thái Cay Bò + Bún Thái Cay Mực) + 02 Coca-Cola,"88,000"
1,02 Coca-Cola chai,"27,000"
2,COMBO 4: Phần Bún Thái Cay Thường + 02 Coca-Cola,"88,000"
3,COMBO 2: Bún Thái cay thường + 1 Coca-Cola,"42,000"
4,Coca-Cola chỉ 1Đ,1
5,COMBO 1: Bún Thái Cay Bò + 01 chai Coca-Cola,"48,000"
6,01 Coca-Cola chai,"13,500"
7,Bún Thái Cay Mực + 1 Pepsi ,"49,500"
8,Bún Thái Cay Bò + 1 Pepsi,"51,300"
9,Bún Thái Cay Thường + 1 Pepsi,"46,800"
10,Pepsi lẻ,"13,500"
11,Bún Thái cay thập cẩm,"38,250"
12,Bún Thái cay hải sản,"47,250"
13,Bún Thái cay thường,"33,300"
14,Bún Thái cay chả cua + cá viên,"29,700"
15,Lẩu Thái,"171,000"
16,Bún Thái cay thập cẩm + Coca-Cola,"52,200"
17,Bún Thái cay hải sản + Coca-Cola,"61,200"
18,Bún Thái cay thường + Coca-Cola,"47,700"
19,COMBO: 2 Bún Thái cay Thập cẩm + 2 Coca-Cola,"111,600"
20,COMBO: 02 Phần Bún Thái cay (Bún Thái Cay Bò + Bún Thái Cay Mực) + 02 Coca-Cola,"93,600"
21,COMBO: 02 Phần Bún Thái Cay Thường + 02 Coca-Cola,"93,600"
22,Hộp mang về,"3,600"
23,Bún Thêm,"5,400"
24,Thịt thêm,"19,800"
25,Chả cua thêm,"19,800"
26,Nấm thêm,"18,000"
27,Mực Thêm,"22,500"
28,Cá Viên Thêm,"19,800"
29,Tôm Thêm,"22,500"
30,Nghêu thêm,"19,800"
31,Rau thêm lẩu,"22,500"
32,Phần Lẩu Thêm,"108,000"
33,Trà TắC,"9,900"
34,Coca,"13,500"
35,Combo Bún Thái cay thường + 1 Coca-Cola,"45,000"
36,Bún Thái Cay Bò + 01 chai Coca-Cola,"49,500"
37,Bún Thái Cay Mực + 01 chai Coca-Cola,"49,500"
38,LẨU THÁI LỚN,"315,000"
39,Combo team no nê: 2 Bún Thái cay thường + 2 Bún Thái cay thập cẩm + 4 Coca cola ,"189,000"
40,Combo team no nê: 3 Bún Thái cay thường + 1 Bún Thái cay thập cẩm + 4 Coca cola,"184,500"
41,3 Bún thái cay thập cẩm + 03 chai Coca-Cola,"148,500"
42,20/11 - BIG COMBO: Một Lẩu Thái + 4 Coca - Cola + Mực Thêm - Tôm Thêm,"261,000"
43,3 Bún thái cay thường + 03 chai Coca-Cola,"135,000"
