,Food,Price
0,Bánh kem bắp (16cm),"240,000"
1,Bánh kem bắp (20cm),"360,000"
2,Bánh Kem Tươi 16cm,"200,000"
3,Bánh Kem Tươi 20cm,"320,000"
4,Bánh Kem Tươi 18cm,"240,000"
5,Bánh Papparoti,"14,400"
6,Bánh Mì Chiên Nhân Sukem,"14,400"
7,Bánh Mì Chà Bông,"14,400"
8,Bánh Cua Phô Mai,"14,400"
9,Bánh Mì Dừa  Bơ Chà Bông,"14,400"
10,Bánh Mì Phô Mai Trứng Muối Chà Bông Cay,"14,400"
11,Pizza  Đế Bạc ,"20,000"
12,Bánh Mì phô mai dừa hạnh nhân,"14,400"
13,Bánh Mì Xúc Xích Chà Bông ,"14,400"
14,Bánh Mì Hoa Cúc ,"36,000"
15,Pizza Cắt Miếng,"20,000"
16,Bánh Mì Hoa Cúc Dừa Nho,"40,000"
17,Bánh Mì  Chiên Xúc Xích Chà Bông ,"14,400"
18,Bánh Mì Đài Loan,"40,000"
19,Bánh Mì Dừa Nho,"14,400"
20,Bánh Mì Hoa Cúc Chà Bông ,"40,000"
21,Sandwich Bơ Sữa,"32,000"
22,Bánh mì phô mai sữa chua,"40,000"
23,Bánh bông lan trứng muối mix ,"48,000"
24,Bông Lan Dừa Lá Dứa,"14,400"
25,Cupcake Trứng Muối Nhỏ,"10,000"
26,Bông Lan Dâu Dừa,"14,400"
27,Bánh Bông Lan Chà Bông Cay,"14,400"
28,Bánh bông lan Chà Bông,"14,400"
29,Bông Lan Nho,"14,400"
30,Bánh Bông Lan Cuộn Dâu Lớn,"28,000"
31,Bông Lan Nho Ổ Lớn,"40,000"
32,Bánh Tart Trứng,"10,000"
33,Bánh Donut,"14,400"
34,Bánh Bateso,"20,000"
