,Food,Price
0,COMBO 3 bánh có lava phomai tươi,"155,000"
1,COMBO 3 bánh có bánh mì phomai bơ tỏi,"165,000"
2,COMBO 3 bánh có kem cheese milo,"155,000"
3,COMBO 3 bánh có TIRAMISU,"172,000"
4,COMBO 3 bánh có bánh mì dầu trứng,"149,000"
5,COMBO 3 bánh có kem trứng dừa nướng,"155,000"
6,Bánh Bông Lan Trứng Muối Mix 2 Sốt (s) -  209g,"55,000"
7,Bánh Mì Phô Mai Bơ Tỏi HQ - 250g,"59,000"
8,Bánh Bông Lan Trứng Muối Mix 2 Sốt (L) - 309 g,"79,000"
9,Bánh Mì Phomai Tan Chảy -  249g,"55,000"
10,Bánh Bông Lan Lava Phomai Tươi  - 169g,"49,000"
11,Bánh Bông Lan Kem Trứng Dừa Nướng (s) - 169g,"49,000"
12,Bánh Mì Sốt Dầu Trứng Chà Bông (s) - 209g,"45,000"
13,Bánh Bông Lan Kem Cheese Milo (s) - 169g,"49,000"
14,Bánh Bông Lan Kem Trứng Dừa Nướng (L) - 299 g,"79,000"
15,Bánh Bông Lan Lava Phomai Tươi (L) - 309 g,"79,000"
16,Bánh Bông Lan Kem Cheese Milo (L) - 299 g,"79,000"
17,Bánh Tiramisu Cacao Truyền Thống - 189g,"65,000"
18,Bánh Panna Cotta Việt Quất - 150ml,"39,000"
19,Bánh Panna Cotta Chanh Dây - 150ml,"39,000"
20,Bánh Panna Cotta Dâu Tây - 150ml,"39,000"
21,Nước Suối Khoáng Vivant - 500ml,"10,000"
22,Trà Olong Tea Plus - 455ml,"15,000"
23,Nến đốt tới bến,"9,999"
24,Tag gim Happy Birthday - mẫu ngẫu nhiên ĐẸP,"9,999"
