,Food,Price
0,Sting,"15,000"
1,Coca,"15,000"
2,Bò húc,"20,000"
3,Pepsi,"15,000"
4,"Lẩu vừa 2, 3 người","250,000"
5,Set bò cuốn bánh tráng,"189,000"
6,Lòng sốt áp chảo,"129,000"
7,"Lẩu trung 3, 4 người","350,000"
8,Set bò trộn mắm cay,"139,000"
9,"Lẩu đặc biệt 4, 5 người","499,000"
10,Dạ sách bò sa tế,"139,000"
11,Đuôi bò nướng sốt BG1,"139,000"
12,Gân bò sa tế,"139,000"
13,Rau thêm,"20,000"
14,Nước lẩu thêm,"15,000"
15,Đuôi chín,"85,000"
16,Bún tươi thêm,"10,000"
17,Gân chín,"85,000"
18,Mì gói thêm,"5,000"
19,Thịt gầu chín,"99,000"
20,Thịt bắp chín,"90,000"
