,Food,Price
0,COMBO UỐNG THẢ GA KHAO 10K,"110,000"
1,Trà Berry Đỏ M,"10,000"
2,Sữa chua phúc bồn tử đác thơm,"40,000"
3,Sữa tươi trân châu đường đen,"25,000"
4,Trà sữa truyền thống,"20,000"
5,Trà sữa kem Cheese size  L,"32,000"
6,Trà sữa nguyên lá,"25,000"
7,Trà sữa olong rang,"20,000"
8,Hồng trà sữa bá tước,"20,000"
9,Trà sữa Hokaido,"25,000"
10,Trà sữa hạnh nhân,"25,000"
11,Trà sữa đào,"25,000"
12,Lục trà sữa,"20,000"
13,Matcha Latte,"25,000"
14,Trà sữa sen vàng,"25,000"
15,Matcha Okinawa,"27,000"
16,Trà Sữa Kiều Mạch M,"25,000"
17,Hồng trà sữa Ngọc Trai size M,"28,000"
18,Trà dâu đông du,"25,000"
19,Trà chery long nhãn,"35,000"
20,Trà vải,"30,000"
21,Trà lài đác thơm,"35,000"
22,Trà thảo mộc lucky tea,"35,000"
23,Trà đào cam sả,"30,000"
24,Hồng Trà Chanh,"20,000"
25,Hồng trà thanh đào,"30,000"
26,Hồng Trà Machiato M,"25,000"
27,Olong Machiato M,"25,000"
