,Food,Price
0,Trà Sữa TMILK Ngũ Sắc ,"30,000"
1,Sữa Tươi Trân Châu Đường Đen,"28,000"
2,Trà Sữa Oolong Hoàng Kim ,"28,000"
3,Trà Sữa Machiato,"28,000"
4,Trà Sữa TMLIK ,"28,000"
5,Trà Sữa Match Bạch Kim,"28,000"
6,Trà Sữa Khoai Môn Hoàng Kim,"28,000"
7,Trà Sữa Truyền Thống,"20,000"
8,Trà Sữa Chocolate Pudiding,"28,000"
9,Trà Olong Tươi,"20,000"
10,Trà Đào Cam Sả,"28,000"
11,Trà Oolong Nhiệt Đới,"28,000"
12,Trà Dâu Tươi,"28,000"
13,Trà Oolong Chuỗi Ngọc,"25,000"
14,Trà Lê Mix Long Nhãn,"28,000"
15,Trà Vải,"25,000"
16,Trà Olong Đác Thơm,"28,000"
17,Trà Oolong Hoàng Kim,"28,000"
18,Đông Phương Mỹ Nhân Trà,"28,000"
19,Trà Ổi Hồng,"28,000"
20,Sữa Chua Dưa Lưới,"30,000"
21,Sữa Chua Dâu,"30,000"
22,Sữa Chua Đào Nhài,"30,000"
23,Sữa Chua Việt Quất,"30,000"
24,Sữa Chua Vải,"30,000"
25,Sữa Chua Đào,"30,000"
26,Sữa Chua Long Nhãn,"30,000"
27,Sữa Chua Đác Thơm,"30,000"
28,Soda Việt Quất,"25,000"
29,Soda Vải,"25,000"
30,Soda Đào Nhài,"25,000"
31,Soda Dâu,"25,000"
32,Soda Long Nhãn,"25,000"
33,Cacao sữa,"25,000"
