,Food,Price
0,Trà sữa trân châu hoàng gia,"29,900"
1,Trà sữa Ba anh em,"31,200"
2,4 ly Trà sữa trân châu hoàng gia (L),"130,000"
3,2 ly Trà sữa trân châu hoàng gia (L),"65,000"
4,Hồng trà bưởi mật ong,"27,300"
5,Trà Dứa Nhiệt Đới,"24,700"
6,Trà sữa kim cương đen Okinawa,"29,900"
7,Trà sữa panda,"31,200"
8,Sữa tươi trân châu baby kem cafe,"31,850"
9,Dâu tằm kem phô mai,"31,200"
10,Trà Sữa Socola,"26,000"
11,Oolong trân châu baby kem cafe,"31,850"
12,Matcha đậu đỏ,"31,850"
13,Matcha Kem phô mai,"31,200"
14,Hồng trà Kem phô mai,"27,300"
15,Sữa tươi trân châu đường hổ,"33,800"
16,Trà sữa hạnh phúc,"29,900"
17,Trà sữa,"24,700"
18,Ô long thái cực,"29,250"
19,Trà sữa ô long,"25,350"
20,Trà xanh sữa vị nhài,"24,700"
21,Trà sữa matcha,"26,000"
22,Trà sữa bạc hà,"26,000"
23,Ô long kem phô mai,"28,600"
24,Trà sữa dâu tây,"26,000"
25,Ô long trân châu baby kem café,"31,850"
26,Hồng trà,"20,800"
27,Trà dâu tằm pha lê tuyết,"27,300"
28,Trà dứa nhiệt đới,"24,700"
29,Trà xanh,"20,800"
30,Trà xanh xoài,"24,700"
31,Trà xanh Kem phô mai,"27,300"
