,Food,Price
0,Choco CreamCake Hạt Dẻ,"34,300"
1,Choco ngũ cốc kem cafe,"31,800"
2,Hồng trà ngũ cốc kem cafe,"31,800"
3,Royal Pearl Milk Coffee,"26,600"
4,Grass Jelly Milk Coffee,"26,600"
5,Trà sữa trân châu hoàng gia,"32,200"
6,Sữa tươi trân châu đường hổ,"36,400"
7,Trà sữa kim cương đen Okinawa,"32,200"
8,Trà sữa ba anh em,"33,600"
9,Trà sữa panda,"33,600"
10,Trà sữa Hạnh phúc,"32,200"
11,Sữa tươi trân châu baby kem café,"34,300"
12,Hồng trà,"22,400"
13,Ô long trân châu baby kem café,"34,300"
14,Trà sữa ô long,"27,300"
15,Trà xanh sữa vị nhài,"26,600"
16,Trà sữa,"26,600"
17,Ô long thái cực,"31,500"
18,Trà sữa matcha,"28,000"
19,Trà sữa socola,"28,000"
20,Trà sữa bạc hà,"28,000"
21,Matcha đậu đỏ,"34,300"
22,Trà sữa dâu tây,"28,000"
23,Combo 2 ly Trà Sữa Hạnh Phúc,"100,000"
24,Combo 2 ly Trà Sữa Ba Anh Em,"100,000"
25,Combo 2 ly Trà Sữa Panda,"100,000"
26,Cream-Catcher café,"34,300"
27,Energy -Booster café,"33,600"
28,Probi Bưởi Trân Châu Sương Mai,"29,400"
29,Probi Xoài trân Châu Sương Mai,"42,000"
30,Matcha kem phô mai,"33,600"
31,Socola kem phô mai,"33,600"
32,Hồng trà kem phô mai,"29,400"
33,Ô long kem phô mai,"31,800"
34,Dâu tằm kem phô mai,"33,600"
35,Trà xanh kem phô mai,"29,400"
36,Trà dâu tằm pha lê tuyết,"29,400"
37,Trà dứa hồng hạc,"28,000"
38,Trà dứa nhiệt đới,"26,600"
39,Trà xanh xoài,"26,600"
40,Trà xanh,"22,400"
