,Food,Price
0,Combo Thả Ga,"58,800"
1,Combo Siêu Ưu Đãi: 5 Ly,"151,200"
2,Combo Trà Sữa 3 ly,"140,000"
3,Trà sữa trân châu hoàng gia,"32,200"
4,Trà sữa kim cương đen Okinawa,"32,200"
5,Trà sữa hạnh phúc,"32,200"
6,Trà sữa Panda,"33,600"
7,Trà sữa ba anh em,"33,600"
8,Trà dứa nhiệt đới,"26,600"
9,Ô long kem phô mai,"30,800"
10,Trà sữa,"26,600"
11,Hồng trà,"22,400"
12,Trà xanh,"22,400"
13,Ô long trân châu Baby kem cafe,"34,300"
14,Royal Pearl Milk Coffee,"26,600"
15,Hồng Trà Ngũ Cốc Kem Cafe,"30,800"
16,Grass Jelly Milk Coffee,"26,600"
17,Choco Ngũ Cốc Kem Cafe,"30,800"
18,Combo: 5 Ly Hồng trà kem phô mai,"147,000"
19,Combo: 5 Ly Trà xanh kem phô mai,"147,000"
20,Tàu hủ vị truyền thống,"15,000"
21,Tàu hủ vị lá dứa,"15,000"
22,Tàu hủ vị việt quất,"15,000"
23,Tàu hủ vị đào,"15,000"
24,Tàu hủ vị dâu tây,"15,000"
25,Tàu hủ 5 vị,"75,000"
26,Sữa tươi trân châu đường hổ,"36,400"
27,Trà xanh sữa vị nhài,"26,600"
28,Ô long thái cực,"31,500"
29,Trà sữa ô long,"27,300"
30,Trà sữa bạc hà,"28,000"
31,Trà sữa matcha,"28,000"
32,Sữa tươi trân châu baby kem cafe,"34,300"
33,Matcha đậu đỏ,"34,300"
34,Sữa tươi khoai môn hoàng kim,"34,300"
35,Trà sữa socola,"28,000"
36,Trà sữa dâu tây,"28,000"
37,Trà dâu tằm pha lê tuyết,"29,400"
38,Trà sữa khoai môn hoàng kim,"32,200"
39,Macchiato Kem Cafe,"6,300"
40,Matcha kem phô mai,"33,600"
41,Hồng trà kem phô mai,"29,400"
42,Socola kem phô mai,"33,600"
43,Dâu tằm kem phô mai,"33,600"
44,Trà xanh kem phô mai,"29,400"
45,Trà xanh xoài,"26,600"
46,Trà Xoài Bưởi Hồng,"26,600"
