,Food,Price
0,ST TRÂN CHÂU Đ Đ,"25,000"
1,ST CACAO,"25,000"
2,ST DÂU TÂY,"25,000"
3,ST VIỆT QUẤT,"25,000"
4,ST XOÀI,"25,000"
5,TRÀ DÂU TÂY,"29,000"
6,TRÀ VẢI,"29,000"
7,TRÀ ỔI HỒNG,"29,000"
8,TRÀ BƯỞI HỒNG,"29,000"
9,TRÀ ĐÀO,"29,000"
10,TRÀ VIỆT QUẤT,"29,000"
11,TRÀ KIWI HẠT ĐÁT,"29,000"
12,TS HOÀNG KIM,"24,000"
13,TRÀ SỮA T/Châu,"24,000"
14,Trà Sữa Full Topping,"36,000"
15,TS ĐẬU ĐỎ,"25,000"
16,BEE XANH,"22,000"
17,KHOAI MÔN T/châu,"25,000"
18,TRÀ XANH T/châu,"25,000"
19,TS SƯƠNG SÁO,"25,000"
20,TS LỰU ĐỎ,"25,000"
21,SOCOLA T/châu,"25,000"
22,TS T THỐNG,"18,000"
23,HỒNG TRÀ H KIM MACCHIATO,"28,000"
24,MATCHA MACCHIATO,"28,000"
25,OLONG NGỌC TRAI MACCHIATO,"28,000"
26,CACAO MACCHIATO,"28,000"
27,Trà Xoài Macchiato,"28,000"
28,LỤC TRÀ TRÂN CHÂU MACCHIATO,"28,000"
