,Food,Price
0,Hồng trà sủi bọt,"30,400"
1,Trà gạo nâu sủi bọt,"32,800"
2,Trà xanh sủi bọt,"30,400"
3,Trà bí đao sủi bọt,"28,800"
4,Trà Ôlong sủi bọt,"32,800"
5,Trà Quan Âm sủi bọt,"32,800"
6,Trà Alisan sủi bọt,"32,800"
7,Trà hoa sủi bọt,"30,400"
8,Trà xanh kiwi,"32,800"
9,Trà đào,"30,400"
10,Trà Đẹp,"35,200"
11,Hồng trà dâu,"30,400"
12,Trà thanh xuân,"30,400"
13,Trà Blueberry,"35,200"
14,Trà xanh xoài,"30,400"
15,Trà vải,"32,800"
16,Trà chanh đào ,"32,800"
17,Trà dâu rừng,"32,800"
18,Trà xanh xí muội,"28,000"
19,Trà bưởi,"32,800"
20,Trà xanh chanh dây,"28,000"
21,Hồng trà chanh dây,"28,000"
22,Trà sữa trân châu,"29,600"
23,Trà sữa trà xanh,"27,200"
24,Trà sữa Bobapop,"27,200"
25,Trà sữa socola,"29,600"
26,Trà sữa khoai môn,"29,600"
27,Trà sữa bạc hà,"29,600"
28,Trà sữa caramen,"29,600"
29,Trà sữa dâu tây,"27,200"
30,Trà sữa kiwi,"29,600"
31,Trà sữa vải,"27,200"
32,Trà sữa đào,"29,600"
33,Trà sữa bí đao,"27,200"
34,Trà sữa cafe,"29,600"
35,Trà sữa hạnh nhân,"29,600"
36,Sữa tươi trân châu đường đen,"28,000"
37,Trà sữa Okinawa hạt đẹp đường đen,"30,400"
38,Trà sữa gạo nâu,"29,600"
39,Trà sữa ôlong,"29,600"
40,Trà sữa hoa lục trà,"29,600"
41,Trà socola bạc hà,"30,400"
42,Trà sữa Quan Âm,"29,600"
43,Trà sữa Alisan,"29,600"
44,Matcha Bobapop,"32,800"
45,Trà sữa Darjeeling,"29,600"
46,Hồng trà Bobapop,"28,000"
47,Trà xanh Bobapop,"28,000"
48,Trà bí đao,"24,800"
49,Trà hoa lục trà,"30,400"
50,Trà gạo nâu,"30,400"
51,Hồng trà Darjeeling,"28,000"
52,Trà Alisan lạnh,"28,000"
53,Trà Quan Âm,"28,000"
54,Trà Cao Sơn Ô Long,"28,000"
55,Trà sữa 3Q,"31,200"
56,Trà sữa 4Q,"32,800"
57,Trà sữa Taichi,"29,600"
