,Food,Price
0,Bánh tráng chấm sốt ĐB + trứng cút ( có trứng),"20,000"
1,Bánh tráng chấm sốt ĐB ( ko có trứng),"15,000"
2,Bánh tráng chấm sốt muối tắc ĐB + trứng ( có trứng),"25,000"
3,Xoài chấm muối,"20,000"
4,"Trái cây thập cẩm size nhỏ ( ổi , xoài , dưa hấu)","30,000"
5,"Trái cây thập cẩm size lớn ( ổi , xoài , dưa hấu)","45,000"
6,Bánh tráng chấm sốt muối tắc ĐB ( ko trứng),"17,000"
7,Ổi chấm muối,"20,000"
8,Dưa hấu chấm muối,"20,000"
9,Trà Sữa Full Topping,"35,000"
10,Trà Sữa Trân Châu,"20,000"
11,Trà Sữa Thái Xanh Trân Châu,"30,000"
12,Trà Sữa Thuỷ Tinh,"30,000"
13,Trà Sữa Trân Châu Trắng,"30,000"
14,Sữa Tươi Trân Châu Đường Đen,"35,000"
15,Trà Sữa Phomai Tươi,"30,000"
16,Trà Sữa Sương Sáo,"30,000"
17,Trà Sữa Kem Cheese,"32,000"
18,Sữa Tươi Sương Sáo Đường Đen,"35,000"
19,Trà Sữa Tiểu Tam Full Topping,"35,000"
20,Trà Sữa Tiểu Tam Phomai Tươi,"29,000"
21,Trà Sữa Tiểu Tam Full Thạch Trái Cây,"29,000"
22,Trà Sữa Tiểu Tam Trân Châu Trắng,"29,000"
23,Trà Sữa Tiểu Tam Full Thuỷ Tinh,"29,000"
24,Trà Sữa Tiểu Tam Viền Phomai,"32,000"
25,Trà Sữa Socola Trân Châu,"30,000"
26,Cacao Cream Cheese,"35,000"
27,Trà Sữa SICULA FULLTOPPING,"35,000"
28,Trà Sữa SICULA Trân Châu Trắng,"28,000"
29,Trà Sữa SICULA Phomai Tươi,"35,000"
30,Trà Sữa SICULA Full Thạch Trái Cây,"29,000"
31,Combo Cacao Kem Cheese + Trà Sữa Thuỷ Tinh,"70,000"
32,Trà Sữa SICULA FULL Thuỷ Tinh,"29,000"
33,Trà Sữa SICULA Full Thuỷ Tinh,"29,000"
34,Combo Chiên Nhỏ 50K,"50,000"
35,Combo Chiên Vừa 70K,"70,000"
36,Combo Chiên Lớn 100K,"100,000"
37,Combo chiên bơ tỏi  (nhỏ),"60,000"
38,Combo chiên bơ tỏi  ( lớn),"120,000"
39,Combo chiên bơ tỏi  ( vừa),"85,000"
40,Combo chiên mắm tỏi ( nhỏ),"60,000"
41,Combo chiên mắm tỏi  Vừa,"85,000"
42,Combo chiên mắm tỏi  Lớn,"120,000"
43,Bánh Sữa Chiên 2 viên,"8,000"
44,HotDog Phomai 1 Cây,"16,000"
45,Cá Viên 5 viên,"6,000"
46,Bò Viên 5 Viên,"6,000"
47,Bạch tuột 5 viên,"6,000"
48,Đậu Hũ Chiên 5 Miếng,"5,000"
49,Đậu bắp 1 phần ( 4  cây),"5,000"
50,Khoai Tây Chiên 200GR,"35,000"
51,Hồ Lô 3 viên,"10,000"
52,Tôm viên 5 viên,"6,000"
53,Phomai Que 1 Cây,"12,000"
54,Cá viên tẩm bột 3 viên,"11,000"
55,Phomai Viên 1 viên,"6,000"
56,Gà Xiên 1 Xiên,"10,000"
57,Bánh Bao Nhím Cam 3 viên,"10,000"
58,Chạo sả 1 cây,"6,000"
59,Thanh Cua 1 Thanh,"10,000"
60,Đậu Hũ Surimi 3 miếng,"10,000"
61,Tôm hùm 3 viên,"8,000"
62,Cốm Xanh 3 viên,"11,000"
63,Ốc Nhồi Basa 2 viên,"8,000"
64,Mắm Tỏi,"10,000"
65,Đậu hũ surimi mặt cười 3 miếng,"10,000"
66,Trà Dưa Hấu size M,"30,000"
67,Trà Trái Cây Nhiệt Đới size M,"37,000"
68,Trà Thanh Long Đỏ size M,"30,000"
69,Trà Đào Cam Sả,"30,000"
70,Trà Vải Tươi,"30,000"
71,Trà Ổi Hồng Tươi,"30,000"
72,Trà Sen Vàng Foam,"35,000"
73,Lục Trà Sương Sáo,"32,000"
74,Lục Trà Chanh Đài Loan,"30,000"
75,Trà Chanh Sả,"27,000"
76,Ép Dưa Hấu,"25,000"
77,Ép Ổi,"25,000"
78,Nước Chanh,"25,000"
79,Sinh Tố Dưa Gang,"30,000"
80,Bánh Tráng Trộn,"25,000"
81,Bánh Tráng Chấm Trứng Bơ,"25,000"
82,Bánh Tráng Muối Tắc,"20,000"
83,Bánh tráng cuốn chấm sốt bò,"30,000"
84,Bánh Tráng Chấm Bò,"25,000"
85,Khoai Tây Chiên,"35,000"
86,Bánh Tráng Trộn Khô Bò ĐEN,"25,000"
87,Bánh tráng cuốn trứng lòng đào,"25,000"
88,Bánh tráng trộn mỡ hành,"25,000"
89,Bánh tráng trộn mỡ hành + trứng cút,"30,000"
90,Bánh tráng trộn thập cẩm CỰC ĐẠI,"35,000"
91,Phomai Tươi,"10,000"
92,Trân Châu Đen,"7,000"
93,Trân Châu Trắng,"10,000"
94,Kem Cheese,"12,000"
95,Hạt Thuỷ Tinh,"10,000"
96,Sương Sáo,"7,000"
97,Thạch Việt Quất,"7,000"
98,Thạch Cà Phê,"7,000"
99,Đào Tươi,"10,000"
100,Vải Tươi,"10,000"
