,Food,Price
0,Trà sữa CACTUS,"33,000"
1,Trà sữa trân châu đen,"22,000"
2,Trà sữa Milo (đặc biệt),"33,000"
3,Trà sữa sương sáo,"22,000"
4,Trà sữa trân châu caramel ,"22,000"
5,Trà sữa trân châu ngọc trai,"22,000"
6,Trà sữa Cheese Ball,"24,000"
7,Trà sữa pudding trứng,"22,000"
8,Trà sữa pudding socola,"22,000"
9,Trà sữa ngũ cốc,"27,000"
10,Trà sữa thạch ốp la,"22,000"
11,Trà sữa Socola trân châu đen,"27,000"
12,Trà sữa Socola,"22,000"
13,Trà sữa Socola Pudding Socola,"27,000"
14,Socola CACTUS,"35,000"
15,Trà sữa Matcha trân châu đen,"28,000"
16,Matcha CACTUS,"37,000"
17,Sữa gạo Pudding trứng,"23,000"
18,Sữa gạo sương sáo,"23,000"
19,Sữa gạo CACTUS,"34,000"
20,Sữa gạo ngọc trai,"23,000"
21,Sữa gạo Milo (đặc biệt),"34,000"
22,Sữa gạo Pudding socola,"23,000"
23,Sữa gạo Milo ,"23,000"
24,Sữa gạo trân châu đen,"23,000"
25,Sữa gạo trân châu caramel,"23,000"
26,Trà sữa Thái xanh,"20,000"
27,Thái xanh CACTUS,"35,000"
28,Thái xanh Pudding trứng,"26,000"
29,Sữa tươi trân châu đường đen,"25,000"
30,Sữa tươi trân châu caramel,"27,000"
31,Sữa tươi đường đen Pudding trứng,"27,000"
32,Socola sữa tươi trân châu đường đen,"28,000"
33,Matcha sữa tươi trân châu đường đen,"29,000"
34,Trà sữa Kem trứng hoàng kim,"28,000"
35,Trà sữa Kem Cheese,"27,000"
36,Trà sữa Kem trứng Vụn Dừa,"32,000"
37,Sữa tươi đường đen kem trứng,"35,000"
38,Trà Lài Kem Cheese,"25,000"
39,Trà sữa Kem cheese Ngũ cốc Milo,"35,000"
40,Trà sữa Socola Kem Cheese,"32,000"
41,Trà sữa Matcha Kem cheese,"34,000"
42,Hồng trà sủi bọt ,"15,000"
43,Trà Dâu Dằm,"20,000"
44,Trà Dưa Lưới hạt ngọc trai,"22,000"
45,Trà Táo thạch táo,"22,000"
46,Hồng trà trân châu đen,"20,000"
47,Lục trà Lài ,"15,000"
48,Trà đào dằm,"20,000"
49,Hồng trà Full Topping,"28,000"
50,Trà Nho thạch nho,"22,000"
51,Trà Vải ngọc trai,"22,000"
52,Trà Việt Quất hạt caramel,"22,000"
53,Trà Ổi hạt ngọc trai,"22,000"
54,Trà Chanh Dây ngọc trai,"22,000"
55,Chanh Lài Mật Ong,"18,000"
56,Hồng trà Mật ong,"18,000"
57,Hồng trà thạch ốp la ,"20,000"
58,Hồng trà Ngũ thạch,"25,000"
59,CACAO dằm Milo Đặc Biệt (Socola),"33,000"
60,CACAO dằm Milo trân châu,"24,000"
61,CACAO dằm Douple Milo,"28,000"
62,CACAO dằm Milo Đặc Biệt (trứng),"33,000"
63,Soda Bạc hà Táo,"35,000"
64,SODA Dâu,"35,000"
65,SODA Việt Quất,"34,000"
66,SODA Đào ,"35,000"
67,Bánh tráng xike tỏi,"7,000"
68,Cơm cháy mắm hành ,"10,000"
69,Mực bento - CAM,"7,000"
70,Mực bento ĐỎ,"7,000"
71,Trà sữa truyền thống,"26,000"
72,Sữa gạo,"27,000"
73,Trà sữa Socola ,"29,000"
74,Trà sữa Thái Xanh,"29,000"
75,Hồng trà ,"21,000"
76,Trà nho,"25,000"
77,Trà việt quất,"25,000"
78,Trà dưa lưới,"25,000"
79,Trà dâu dằm ,"26,000"
80,Trà táo,"25,000"
81,•Hũ• Trân châu ngọc trai 3Q ,"6,000"
82,•Hũ• Cheese Ball (3 viên),"10,000"
83,•Hũ• Trân châu đen,"6,000"
84,•Hũ• Trân châu caramel 3Q ,"6,000"
85,•Hũ• Pudding trứng,"7,000"
