,Food,Price
0,Trà sữa Truyền thống Chamely,"27,000"
1,Sâm dừa Sài Gòn ,"27,900"
2,Trà sữa Gạo rang trân châu,"31,500"
3,Trà sữa Cổ điển Chamely Hi-C,"31,500"
4,Trà Ô Long đào,"31,500"
5,Trà sữa Truyền thống trân châu,"21,600"
6,Trà sữa Khoai môn,"27,900"
7,Trà sữa Socola,"27,900"
8,Trà sữa Matcha,"27,900"
9,Trà sữa Gạo rang trân châu ,"31,500"
10,Trà sữa truyền thống kem trứng nướng,"33,300"
11,Sữa tươi trân châu đường đen ,"27,900"
12,Sữa tươi trân châu đường đen kem trứng ,"36,900"
13,Khoai môn sữa lắc trân châu đường đen ,"31,500"
14,Matcha sữa lắc trân châu đường đen ,"31,500"
15,Trà Ô Long vải,"31,500"
16,Trà Ô Long đào cam sả,"33,300"
17,Trà Ô Long ổi hồng,"31,500"
18,Trà Ô Long tắc xí muội,"17,100"
19,Trà Ô Long thạch đào,"31,500"
20,Dừa tắc đác rim ,"27,900"
