,Food,Price
0,Cacao sữa,"28,000"
1,Cafe lắc cheesee,"22,000"
2,Cafe lắc sữa muối,"22,000"
3,Hoa quả 4 mùa,"28,000"
4,Socola  đá xay - kem chesse,"28,000"
5,Hoa quả ô long vàng,"28,000"
6,Mango matcha latte,"28,000"
7,Khoai môn đá xay - kem chesse,"28,000"
8,Trà sữa nướng,"28,000"
9,Milo trân châu đường đen,"28,000"
10,Xoài  đá xay - kem chesse,"28,000"
11,Khoai  môn  đá xay,"28,000"
12,Hoa quả trà xanh,"28,000"
13,Hoa quả kim phụng,"28,000"
14,Trà sữa socola,"25,000"
15,Bò húc Thái,"23,000"
16,Thanh long đỏ kem chesse ,"28,000"
17,Ca cao - kem cheese,"28,000"
18,Trà sữa Hồng Kong,"25,000"
19,Sữa tươi trân châu đường đen,"27,000"
20,Sữa tươi trân châu đường đen -  kem cheskee,"28,000"
21,Trà sữa cheskee,"28,000"
22,Trà sữa khoai môn,"28,000"
23,Trà sữa Đài Loan,"25,000"
24,Trà sữa hoa anh đào,"28,000"
25,Sữa tươi trân châu đường đen milk salt,"28,000"
26,Trà sữa matchar,"28,000"
27,Trà sữa Bạch Đào,"28,000"
28,Trà đào cam sả,"28,000"
29,Sữa chua hoa quả,"28,000"
30,Sữa chua xoài,"28,000"
31,Sữa chua đá,"28,000"
32,Sữa chua thanh long,"28,000"
33,Sữa chua dưa hấu,"28,000"
34,Xoài đá xay,"28,000"
35,Thanh long đỏ đá xay,"27,000"
36,Dâu đá xay,"28,000"
37,Dưa hấu đá xay,"28,000"
38,Sinh tố xoài,"28,000"
39,Sinh tố thanh long đỏ,"28,000"
40,Sinh tố dưa hấu,"28,000"
41,Socola đá xay,"28,000"
42,Matcha đậm đặc,"28,000"
43,Cacao đậm đặc,"28,000"
44,Dâu tây matcha latte,"28,000"
45,Trà chanh đào,"28,000"
46,Cafe sữa Sài Gòn,"28,000"
47,Bạc xỉu,"27,000"
48,Cam vắt,"28,000"
49,Cafe đen Sài Gòn,"23,000"
50,Cà phê  sữa  phin,"23,000"
51,NƯỚC ÉP THƠM NGUYÊN CHẤT,"28,000"
52,Khoai môn đá xay,"28,000"
53,NƯỚC ÉP DƯA HẤU,"28,000"
54,Cà phê đen phin,"15,000"
55,Nước chanh,"28,000"
