,Food,Price
0,Trà chanh vị ổi,"55,000"
1,Hồng trà Ceylon,"36,000"
2,Trà xanh hoa lài,"36,000"
3,Trà sữa Hải Thần,"59,000"
4,Trà sữa Comebuy,"53,000"
5,Trà sữa trân châu,"49,000"
6,Trà sữa Signature,"42,000"
7,Trà sữa Oolong Tanbei,"59,000"
8,Lục trà Hoàng kim,"42,000"
9,Trà sữa Hong Kong,"66,000"
10,Trà sữa thạch sương sáo,"49,000"
11,Trà sữa hoa hồng Pu’er,"59,000"
12,Trà sữa mật ong,"59,000"
13,Trà sữa hoa quế tứ quý xuân,"66,000"
14,Trà Sữa Lúa Mạch,"59,000"
15,Trà Sữa Matcha,"59,000"
16,Trà Hải Thần,"55,000"
17,Trà hoa hồng pu'er,"55,000"
18,Trà hoa quế tứ quý xuân,"62,000"
19,Trà Oolong Tanbei,"55,000"
20,Trà Oolong Đào Mật Ong,"55,000"
21,Trà Lúa Mạch,"55,000"
22,Trà chanh dây,"49,000"
23,Lục trà mật ong,"38,000"
24,Hồng trà vị táo,"49,000"
25,Hồng trà mật ong,"38,000"
26,Sữa chua vị ổi,"66,000"
27,Hoa hồng tiên tử,"59,000"
28,Lục trà vị táo,"49,000"
29,Lục trà vị chanh,"42,000"
30,Hồng trà vị chanh,"42,000"
31,Xoài Yakult,"66,000"
32,Hồng trà Teaccino,"48,000"
33,Socola teaccino,"52,000"
34,Trà matcha teaccino,"62,000"
35,Trà Oolong Tanbei Teaccino,"62,000"
36,Socola đá viên,"38,000"
37,Trà matcha latte,"52,000"
38,Trà Hải Thần Latte,"70,000"
39,Trà Oolong Tanbei Latte,"70,000"
40,Trà hoa hồng Pu'er latte,"70,000"
