,Food,Price
0,Cơm cháy chà bông,"40,000"
1,Cơm cháy chà bông trứng muối ,"45,000"
2,Hồng trà Macchiato ,"32,000"
3,Trà Sữa Cô 3(Size L),"27,000"
4,Milo sữa dầm mix Cacao,"22,000"
5,Trà sữa Cô Ba+Flan,"30,000"
6,Trà sữa Trân Châu Đen(M),"22,000"
7,Trà Sữa Phô Mai Tươi,"30,000"
8,Trà sữa Trân Châu Trắng Giòn(M),"22,000"
9,Trà Sữa Truyền Thống (Không Topping),"22,000"
10,Sữa tươi trân châu đường đen,"30,000"
11,Bánh flan caramel ,"7,000"
12,Matcha sữa tươi trân châu đường đen,"35,000"
13,Trà sữa chai 330ml,"40,000"
14,Trà sữa Cacao (Không Topping),"25,000"
15,Matcha sữa(Không Topping),"25,000"
16,Cacao Sữa Tươi Trân Châu Đường Đen,"35,000"
17,Trà Sữa Thái Xanh,"30,000"
18,Trà sữa Full Topping,"55,000"
19,Trà sữa thạch dừa,"22,000"
20,Trà dâu tây,"30,000"
21,Trà ổi  (SIZE LỚN),"30,000"
22,Trà đào  tươi,"30,000"
23,Hồng trà truyền thống,"22,000"
24,Trà Chanh( size Lớn),"30,000"
25,Hồng Trà Tắc,"22,000"
26,Bánh tráng phơi sương tắc siêu cay,"12,000"
27,Bánh tráng xì ke,"12,000"
28,Bánh tráng bơ,"12,000"
29,Bánh tráng trộn ,"25,000"
30,Khô gà bơ tỏi,"30,000"
