,Food,Price
0,Trà Sữa Trứng Hoàng Kim ,"28,000"
1,Sữa Tươi Trứng Hoàng Kim,"32,000"
2,Trà  Olong Trứng Hoàng Kim ,"28,000"
3,Trà Olong Trứng Hoàng Kim,"28,000"
4,Yakult Cherry,"29,000"
5,Yakult Vải,"29,000"
6,Yakult Lựu Đỏ,"32,000"
7,Yakult Bưởi Đỏ,"29,000"
8,Trà sữa truyền thống trân châu,"22,000"
9,Trà sữa kem trứng đặc biệt,"24,000"
10,Trà sữa phô mai tươi,"24,000"
11,Trà sữa Hong Kong,"22,000"
12,Trà sữa socola,"22,000"
13,Trà sữa Lài Shan Tuyết,"22,000"
14,Trà Sữa Kiều Mạch,"22,000"
15,Trà sữa thạch dừa,"24,000"
16,Trà sữa khoai môn tươi,"24,000"
17,Trà sữa Oolong Tuyết Sơn,"22,000"
18,Trà Sữa Trân Châu Trắng,"24,000"
19,Trà sữa matcha đậu đỏ,"32,000"
20,Trà Sữa Sương Sáo,"24,000"
21,Trà Sữa Đậu Đỏ,"24,000"
22,Hồng Trà Nhật Nguyệt,"16,000"
23,Trà Đào Hồng,"27,000"
24,Trà Ổi Hồng,"27,000"
25,Trà Vải Tươi,"27,000"
26,Trà Dâu Tây,"25,000"
27,Trà Shan Tuyết Lài,"16,000"
28,Trà Cherry,"25,000"
29,Trà Bưởi Đỏ,"25,000"
30,Trà Oolong Tuyết Sơn,"16,000"
31,Trà Dứa Thơm,"25,000"
32,Trà Chanh Vàng,"20,000"
33,Trà Lựu Thạch Dừa,"32,000"
34,Trà Trái Thơm,"25,000"
35,Sữa tươi trân châu đường đen,"27,000"
36,Sữa tươi kem trứng trân châu đường đen,"32,000"
37,Sữa tươi matcha sữa trân châu đường đen,"32,000"
38,Sữa tươi cacao sữa trân châu đường đen,"32,000"
39,Sữa tươi kem trứng đường đen,"27,000"
40,Sữa tươi sương sáo thảo mộc đường đen,"25,000"
41,Matcha Sữa Tươi Trân Châu Đường Đen,"32,000"
