,Food,Price
0,Trà Sữa Cổ Thụ ,"25,000"
1,TRÀ HOA ĐẬU BIẾC,"22,000"
2,Trà Sữa Truyền Thống,"22,000"
3,Trà sữa Sunday,"39,000"
4,Trà sữa Olong,"25,000"
5,Trà Sữa Chocolate,"25,000"
6,Trà Sữa Takesumi,"25,000"
7,Trà Sữa Matcha,"25,000"
8,Trà Sữa Oreo Phô Mai,"32,000"
9,Trà sữa việt quất,"25,000"
10,Trà Sữa Chocomint,"25,000"
11,Ô Long Sữa Lài,"29,000"
12,Sữa tươi đường đen Chocolate,"32,000"
13,Trà Đào Cam Sả,"28,000"
14,TRÀ ỔI HONGKONG,"27,000"
15,Trà bưởi dâu tây,"33,000"
16,Trà Vải Sen Vàng,"28,000"
17,Trà Vải Hoa Lài,"28,000"
18,Trà Bưởi Hoa Lài,"30,000"
19,Trà Việt Quất,"22,000"
20,Trà Vải Sả Alisan,"28,000"
21,Hồng Trà Vải,"28,000"
22,TRÀ XANH ĐÀO,"28,000"
23,Trà Việt Quất Đậu Biếc,"22,000"
24,Trà Sen Nguyên Lá,"20,000"
25,Trà Xanh Hoa Lài,"20,000"
26,Trà Đen,"20,000"
27,Trà Sữa Kem Trứng Khè Đặc Biệt,"32,000"
28,SỮA TƯƠI TRÂN CHÂU KEM TRỨNG KHÈ,"40,000"
29,Bóng đêm kem trứng khè,"35,000"
30,Matcha kem trứng khè,"35,000"
31,Trà Lài Kem Trứng Khè,"30,000"
32,Trà Sen Kem Trứng Khè,"30,000"
33,Trà Đen Kem Trứng Khè,"30,000"
34,Trà Hoa Đậu Biếc Kem Trứng Khè ,"32,000"
35,Sữa Tươi Trân Châu Đường Đen,"30,000"
36,Sữa Tươi Việt Quất Đường Đen,"32,000"
37,SỮA TƯƠI MATCHA ĐƯỜNG ĐEN,"32,000"
38,Sữa Tươi Chocolate Trân Châu Đường Đen,"32,000"
39,Flan trứng,"7,000"
40,Phô mai tươi,"7,000"
41,Trân châu đen,"5,000"
42,Thạch phô mai,"5,000"
43,Pudding trứng,"5,000"
44,Trân châu trắng 3Q,"6,000"
45,Kem trứng khè,"10,000"
46,Đào Tươi,"5,000"
47,Hạt thủy tinh dưa lưới,"5,000"
48,Hạt thủy tinh kiwi,"5,000"
49,Thạch chocolate,"5,000"
50,Phô Mai Dằm,"5,000"
51,Nha đam tươi,"5,000"
52,Trân Châu Dừa Sợi,"5,000"
53,Hạt Dừa,"5,000"
