,Food,Price
0,Combo 2 Trà Sữa Ba Anh Em,"57,600"
1,Combo 2 Trà Sữa Matcha,"48,000"
2,Combo 2 Trà Sữa Socola,"48,000"
3,Combo 2 Trà Xanh Sữa Vị Nhài,"45,600"
4,Combo 2 Trà Sữa Bạc Hà,"48,000"
5,Combo 3 Sữa Tươi Trân Châu Đường Hổ M,"93,600"
6,COMBO 4 Trà Sữa Ba Anh Em,"115,200"
7,Combo 5 Trà Sữa Panda M,"144,000"
8,Trà Sữa Ba Anh Em,"28,800"
9,Trà Sữa Kim Cương Đen Okinawa,"27,600"
10,Trà Sữa Hạnh Phúc,"27,600"
11,Trà Sữa Xanh Vị Nhài,"22,800"
12,Trà Sữa Bạc Hà,"24,000"
13,Trà Sữa Socola,"24,000"
14,Trà Sữa Matcha,"24,000"
15,Matcha Đậu Đỏ,"29,400"
16,Sữa Tươi Trân Châu Baby Kem Café,"29,400"
17,Ô Long Thái Cực,"27,000"
18,Trà Sữa Dâu Tây,"24,000"
19,Trà Sữa Ô Long,"23,400"
20,Hồng Trà,"19,200"
21,Trà Sữa,"22,800"
22,Trà Sữa Trân Châu Hoàng Gia,"27,600"
23,Trà Sữa Panda,"28,800"
24,Sữa Tươi Trân Châu Đường Hổ,"31,200"
25,Trà Dâu Tằm Pha Lê Tuyết,"25,200"
26,Ô Long Trân Châu Baby Kem Café,"29,400"
27,Ô Long Kem Phô Mai,"26,400"
28,Matcha Kem Phô Mai,"28,800"
29,Dâu Tằm Kem Phô Mai,"28,800"
30,Hồng Trà Kem Phô Mai,"25,200"
31,Trà Xanh Kem Phô Mai,"25,200"
32,Trà Xanh,"19,200"
