,Food,Price
0,Trà sữa Thạch thập cẩm,"27,000"
1,Trà sữa Thạch khúc bạch,"27,000"
2,Trà sữa Trân châu đường đen (truyền thống),"25,200"
3,Trà sữaTrân châu sợi,"25,200"
4,Trân châu pha lê giòn,"25,200"
5,Trà sữa Thạch trái cây,"25,200"
6,Trà sữa tươi socola,"27,000"
7,Trà sữa tươi matcha đậu đỏ,"27,000"
8,Trà sữa tươi vị dâu ,"27,000"
9,Trà sữa tươi vị việt quốc,"27,000"
10,Sữa tươi Thốt nốt rim,"27,000"
11,Sữa tươi Trân châu đường đen,"27,000"
12,Sữa tươi thạch Thập cẩm,"27,000"
13,Sữa tươi Thạch khúc bạch,"27,000"
14,Sữa chua dâu dằm ,"27,000"
15,Sữa chua việt quốc,"27,000"
16,Thốt nốt thanh nhiệt,"37,800"
17,Mít,"27,000"
18,Dâu tây,"27,000"
19,Xoài cát,"27,000"
20,Mãng cầu,"27,000"
21,Sapoche,"27,000"
22,Bơ,"31,500"
23,Bơ & sầu riêng,"36,000"
24,Sầu riêng,"36,000"
25,Dâu tây - chuối,"31,500"
26,Hồng trà đào cam sả,"27,000"
27,Hồng trà ổi thạch thanh long,"27,000"
28,Olong thạch vải,"27,000"
29,Olong sen vàng milk foarm,"27,000"
30,Hồng trà dâu mật ong,"27,000"
31,Hồng trà mật ong trân châu,"27,000"
32,Cà phê sữa,"21,600"
33,Bánh flan nướng-trân châu-cà phê,"19,800"
34,Nước ngọt lon (sting/coca),"18,000"
35,Cà phê đen,"18,000"
36,Cà phê sữa tươi,"25,200"
37,Latte nóng,"35,100"
38,Capuchino nóng,"35,100"
39,Lipton đá,"19,800"
40,Lipton sữa,"21,600"
41,Ngàn lớp chà bông,"12,600"
42,Ngàn lớp sầu riêng,"19,800"
43,Bánh Tar trứng,"15,300"
44,Bánh Mouse tiramisu,"12,600"
45,Thơm - thanh long đỏ,"31,500"
46,Táo (theo mùa),"31,500"
47,Cam - cà rốt,"25,200"
48,Cà rốt - cam - thơm - mật ong,"31,500"
49,Cần tây - chanh dây - cà rốt,"31,500"
50,Kiwi + thạch,"31,500"
51,Chanh dây,"25,200"
52,Cam tươi,"25,200"
53,Dưa hấu,"25,200"
54,Cà rốt,"25,200"
55,Thơm,"25,200"
56,Thơm - ổi hồng,"25,200"
57,Thơm - cà rốt,"25,200"
58,Cần tây - chanh dây - thơm,"31,500"
59,Nho (theo mùa),"31,500"
60,Lựu (theo mùa),"31,500"
61,Khúc bạch,"9,000"
62,Bánh flan nướng,"9,000"
63,Thốt nốt,"9,000"
64,Vải trái,"9,000"
65,Củ năng,"9,000"
66,Thạch,"9,000"
67,Đào miếng,"9,000"
68,Trân châu,"9,000"
69,Sen vàng,"9,000"
70,Cookies đá xay - thạch giòn,"37,800"
71,Matcha đá xay - thạch giòn,"37,800"
72,Sô cô la đá xay - thạch giòn,"37,800"
73,Cà phê đá xay - thạch giòn,"37,800"
74,Hambuger đĩa bay (bò -trứng),"34,200"
75,Trứng thêm,"6,300"
76,Sandwich bơ đường,"25,200"
77,"Sandwich patê, phô mai, (bò -trứng)","34,200"
78,Khoai lang kén,"29,700"
79,Bò viên chiên,"29,700"
80,Khoai tây chiên - bơ đường /lắc phô mai,"29,700"
81,Cá viên chiên,"29,700"
82,Xúc xích chiên,"29,700"
83,Xúc xích 3 kiểu,"80,100"
84,Bò bằm xúc xích,"80,100"
85,"Hải sản, tôm-mực-thanh cua","80,100"
86,Thập cẩm thịt,"80,100"
87,Phô mai 3 kiểu,"80,100"
