,Food,Price
0,Banh Mi Không ,"5,000"
1,Banh My Thit Cha,"25,000"
2,Banh Mi Ba Tê Thit Nguôi,"25,000"
3,Banh Mi Heo Quay,"27,000"
4,Banh Mi Cha Lua Muôi Tiêu,"25,000"
5,Hoa Cuc Nho ,"30,000"
6,Banh Mi Hoa Cuc Lơn ,"40,000"
7,Com Bô 5 Ô Mi Không,"25,000"
8,Banh Giây Kep Cha Bo,"15,000"
9,banh Mì chả cá,"20,000"
10,bánh bông lan trứng muối,"35,000"
11,Com Bô 5 Banh Gio 2trưng Cut,"80,000"
12,Hamburger Bo Trung,"27,000"
13,Sanwich Ha Nôi,"30,000"
14,Cơm Chay Tra Bông,"40,000"
15,Banh Day Kep Cha Chiên,"15,000"
16,Hambugre Bo,"22,000"
17,Sandwich Thit Cha,"20,000"
18,Banh Day Kep Cha Lua,"15,000"
19,Banh Bao Xa Xui 2 Trưng Cut,"20,000"
20,Banh Bao Đăc Biêt,"26,000"
21,Banh Bao Xa Xui Trưng Muôi,"24,000"
22,Xoi Thit Cha ,"25,000"
23,Com Bô 5 Banh Bao 2 Trung Cut Chưa Hâp,"100,000"
24,Com Bô 5 Banh Bao Trưng Muoi Chua Hâp,"120,000"
25,Com Bô 5 Banh Bao Đac Biet Chua Hâp,"125,000"
26,Banh Gio,"16,000"
27,Banh Dây Kep Cha Quê,"15,000"
28,Banh Trưng Ha Nôi,"20,000"
29,Banh Day Kep Cha Bo,"15,000"
30,Banh Pia 5 Sao Tân Hoa Viên,"95,000"
31,Banh Pia 4 Sao TÂn Hoa Viên,"88,000"
32,Cha Quê 200g,"50,000"
33,Cha Lua Ngon 500g,"125,000"
34,Chà bông heo,"45,000"
35,Gio Thu200g,"50,000"
36,Cha Quê 500g,"125,000"
37,Jam Bông Đo 200g,"50,000"
38,Gio Xao 200g,"50,000"
39,Jam Bon Đo 500g,"125,000"
40,Gio Thu 500g,"125,000"
41,Xuc Xich Viêt 500g,"110,000"
42,Xuc Xich Xông Khoi 500g,"100,000"
43,Jam Bông Trang 500g,"125,000"
44,Cha Bo 500g,"150,000"
45,Gio Xao 500g,"125,000"
46,Nem Chua Hêu,"40,000"
