,Food,Price
0,Tàu hủ đá,"10,000"
1,Combo Best seller,"48,000"
2,Tàu hủ thập cẩm,"25,000"
3,Chè thái sầu riêng,"25,000"
4,Chè khoai dẻo,"25,000"
5,Tàu hủ khoai môn hạt sen,"25,000"
6,Tàu hủ hạt sen sương sáo,"25,000"
7,Tàu hủ bánh Flan bánh lọt,"25,000"
8,Tàu hủ bánh lọt sương sáo,"25,000"
9,Tàu hủ Bánh Flan trân châu đường đen,"25,000"
10,Tàu hủ sầu riêng sữa dừa,"25,000"
11,Chè thập cẩm có flan,"25,000"
12,Tàu hủ bánh Flan,"20,000"
13,Tàu hủ hạt sen bánh Flan,"25,000"
14,Tàu hủ trái cây,"25,000"
15,Flan Cốt Dừa (Không Tàu Hũ),"20,000"
16,Tàu hủ bánh Flan sương sáo,"25,000"
17,Sữa chua trái cây,"25,000"
18,Tàu hủ bánh Flan long nhãn,"25,000"
19,Tàu hủ sầu riêng bánh Flan bánh lọt,"30,000"
20,Tàu hủ trân châu đường đen,"20,000"
21,Tàu hủ nước đường gừng - Nóng,"15,000"
22,Tàu hủ hạt sen - Nóng,"20,000"
23,Tàu hủ khoai môn - Nóng,"20,000"
24,Tàu hủ bánh lọt - Nóng,"20,000"
25,Bánh tráng sì ke,"12,000"
26,Bánh Tráng Muối Ớt Xanh,"22,000"
