,Food,Price
0,Sữa tươi Vinamilk 100% Organic không đường - Lốc 4 hộp x180ml_04WO21,"40,020"
1,Sữa tươi tiệt trùng Vinamilk 100% Ít Đường Hộp giấy 1L_04WI01,"52,039"
2,Thùng 48 hộp Sữa tươi Vinamilk 100% Organic không đường 180ml_04WO21_THG-Mua 8 hộp tặng 1 hộp từ 1-30/09/2022,"480,246"
3,Sữa Tươi Tiệt Trùng Vinamilk Green Farm ít đường - Lốc 4 Hộp 180ml_04GI11,"32,018"
4,Sữa Tươi Tiệt Trùng Vinamilk Green Farm có đường - Lốc 4 Hộp 180ml_04GD11,"32,018"
5,Thùng 12 hộp Sữa tươi Vinamilk 100% Organic không đường Hộp 1L_04WO11_THG,"599,685"
6,Sữa tươi tiệt trùng Green Farm 100% không đường - Lốc 4 Hộp x 180ml_04GT11,"27,682"
7,Sữa bột Vinamilk KenKo Haru dành cho người lớn - Hộp thiếc 850g_02EK01,"565,583"
8,Thùng 48 Hộp Sữa Tươi Tiệt Trùng Vinamilk Green Farm ít đường - Lốc 4 Hộp 180ml_04GI11_THG,"384,215"
9,Sữa Tươi Tiệt Trùng Vinamilk Green Farm có đường - Lốc 4 Hộp 110ml_04GD31,"20,406"
10,Thùng 48 Hộp Sữa Tươi Tiệt Trùng Vinamilk Green Farm có đường - Lốc 4 Hộp 180ml_04GD11_THG,"384,215"
11,Sữa bột Vinamilk KenKo Haru dành cho người lớn - Hộp thiếc 350g_02AK01,"248,435"
12,Sữa Tươi Tiệt Trùng Vinamilk Green Farm ít đường - Lốc 4 Hộp 110ml_04GI31,"20,406"
13,Thùng 48 Hộp Sữa Tươi Tiệt Trùng Vinamilk Green Farm ít đường - Lốc 4 Hộp 110ml_04GI31_THG,"244,869"
14,Thùng 48 Hộp Sữa Tươi Tiệt Trùng Vinamilk Green Farm có đường - Lốc 4 Hộp 110ml_04GD31_THG,"244,869"
15,Sữa tươi tiệt trùng Vinamilk 100% Không đường - Hộp giấy 1L_04WT01,"34,020"
16,Sữa tươi Vinamilk 100% Organic không đường - Hộp giấy 1L _04WO11,"50,129"
17,Sữa tươi tiệt trùng Vinamilk 100% Có đường Hộp giấy 1L_04WD04,"34,020"
18,Thùng 12 hộp Sữa tươi tiệt trùng Vinamilk 100% Không đường 1L_04WT01_THG,"408,240"
19,Sữa chua uống tiệt trùng hương Dâu Vinamilk Susu Túi 110ml_06SA71,"4,253"
20,Sữa chua uống tiệt trùng hương Cam Vinamilk Susu Túi 110ml_06SC71,"4,253"
21,Thùng 12 hộp Sữa tươi tiệt trùng Vinamilk 100% Ít Đường 1L_04WI01_THG,"408,240"
22,Thùng 48 Hộp Sữa tiệt trùng Flex không đường 180ml_04LL10_THG,"309,746"
23,Thức uống Sữa Sôcôla Lúa Mạch Vinamilk Susu Túi 110ml_04SS71,"4,253"
24,Thức uống Sữa trái cây hương kẹo nho Vinamilk Hero - Lốc 4 Hộp x 180ml_08HN10,"24,304"
25,Thức uống sữa trái cây vị cam Vinamilk Hero - Lốc 4 Hộp x 180ml_08HC10,"24,304"
26,Thùng 12 hộp Sữa tươi tiệt trùng Vinamilk 100% Có Đường 1L_04WD04_THG,"408,240"
27,Thức uống sữa trái cây vị dâu Vinamilk Hero - Lốc 4 Hộp x 180ml_08HA10,"24,304"
28,Thùng 12 Hộp Sữa tiệt trùng Flex không đường 1L_04LT10_THG,"347,846"
29,Thức Uống Sữa Trái Cây Hero Vị Kẹo Nho - Lốc 4 Hộp x 110ml_08HN30,"15,085"
30,Sữa chua ăn Vinamilk Love Yogurt Green Farm Ít Đường - Vỉ 4 Hộp x 100g_07GI10,"26,041"
31,Sữa chua ăn Vinamilk Love Yogurt Trân châu đường đen - Vỉ 4 Hộp 100g_07CR10,"34,388"
32,Thức uống Sữa trái cây hương kẹo nho Vinamilk Hero 180ml Thùng 48 Hộp _08HN18_THG,"291,652"
33,Sữa đậu nành Tươi Vinamilk - Lốc 4 Hộp x 180ml_05AT10,"18,332"
34,Thức uống sữa trái cây vị cam Vinamilk Hero 180ml Thùng 48 Hộp _08HC18_THG,"291,652"
35,"Sữa non Vinamilk ColosGold - Lốc 4 Hộp x 110ml - Sữa Uống Dinh Dưỡng , Miễn dịch khỏe, Bé lớn nhanh_02HS31","36,081"
36,"Sữa Non Vinamilk Dielac Grow Plus 2+ HT 1400g (Sữa bột Dành cho trẻ từ 2 - 10 Tuổi) - Tăng cân cao khỏe, hỗ trợ Trẻ suy dinh dưỡng, thấp còi_02DR72","548,156"
37,Sữa đậu nành Tươi Vinamilk 180ml Thùng 48 Hộp _05AT10_THG,"219,986"
38,Kem Que Delight Sôcôla Hạnh Nhân - Que 80ml_09CC25,"8,398"
39,Kem Que Delight Cà Phê Hạnh Nhân - Que 80ml_09CF10,"8,398"
40,Kem cây Delight Dừa Caramen Muối Hạnh Nhân – Cây 80ml_09CD23,"8,398"
41,Kem Que Delight Matcha Hạnh Nhân - Que 80ml _09CM23,"8,398"
42,Nước Vfresh táo ép 100% - Hộp giấy 1L_14BT13,"38,241"
43,Sữa chua uống Probi Ít Đường - Lốc 4 chai x 130ml_07UI30,"33,592"
44,Nước Vfresh đào ép Necta - Hộp giấy 1L_14BD13,"34,570"
45,Sữa dinh dưỡng Vinamilk ADM có đường - Lốc 4 hộp x 180ml_04CD11,"28,153"
46,Sữa chua uống Probi Việt Quất - Lốc 5 chai x 65ml_07UQ10,"23,868"
47,Phô mai Vinamilk - Hộp giấy 120g_10VT21,"29,377"
48,Sữa tươi tiệt trùng Vinamilk 100% ít béo không đường Lốc 4 hộp 180ml_04WT62,"31,104"
49,Sữa chua uống Probi Hương Dâu - Lốc 5 chai x 65ml _07UD10,"23,868"
50,Nước Vfresh nho ép 100% - Hộp giấy 1L_14BN20,"46,824"
51,Thùng 48 Hộp Sữa dinh dưỡng Vinamilk ADM có đường 180ml_04CD11_THG,"337,841"
52,Nước Vfresh cam ép 100% - Hộp giấy 1L_14BA13,"40,660"
53,Thức Uống Sữa Trái Cây Hero Vị Dâu - Lốc 4 Hộp x 110ml_08HA30,"15,085"
54,Sữa chua uống Probi Có Đường - Lốc 5 chai x 65ml _07UR11,"23,868"
55,Sữa chua uống Probi Việt Quất - Lốc 4 chai x 130ml_07UQ30,"33,592"
56,Sữa dinh dưỡng Vinamilk ADM có đường - Lốc 4 hộpx110ml_04CD31,"17,993"
57,Nước Vfresh ổi ép - Hộp giấy 1L_14BO20,"40,670"
58,Sữa đậu nành Vinamilk Gấp đôi Canxi có đường - Lốc 4 hộpx 200ml_05AV30,"16,978"
59,Sữa chua uống Probi Gold mật ong và curcumin từ nghệ - Lốc 4 chai x 130ml_07UM30,"36,330"
60,Sữa dinh dưỡng Vinamilk ít đường Bịch 220ml_04FI25,"7,190"
61,Sữa tươi tiệt trùng Vinamilk 100% Có đường Lốc 4 Hộp 180ml_04WD17,"31,104"
62,Sữa tươi tiệt trùng Vinamilk 100% Ít Đường Lốc 4 hộp 180ml_04WI12,"31,104"
63,Sữa tươi tiệt trùng Vinamilk 100% Không Đường Lốc 4 hộp 180ml_04WT17,"31,104"
64,Sữa tươi tiệt trùng Vinamilk 100% Hương Dâu - Lốc 4 Hộpx110ml_04WA34,"31,104"
65,Thùng 48 hộp Sữa tươi Vinamilk 100% Organic không đường 180ml_04WO21_THG,"19,744"
66,Thùng 48 hộp Sữa tươi tiệt trùng Vinamilk 100% Không Đường 180ml_04WT17_THG,"373,248"
