,Food,Price
0,Chè đậu đỏ,"16,000"
1,Chè đậu xanh,"16,000"
2,Sinh Tố Bơ,"30,000"
3,Nước cam,"20,000"
4,Sinh tố thanh long,"20,000"
5,Gỏi Đu Đủ Gan Bò,"25,000"
6,Tóp Mỡ Lá Chanh Siêu Ngon,"65,000"
7,Bánh Tráng Cuộn Thập Cẩm,"25,000"
8,Bánh Tráng Vị Phô Mai,"15,000"
9,Bánh Tráng Sa Tế Cuộn Tép Hành,"15,000"
10,Bắp Rang Mắm Ớt ,"40,000"
11,Bánh Tráng Vị Thập Cẩm,"15,000"
12,Me Lào Muối Ớt Chua Ngọt ,"70,000"
13,Bò Khô Sợi 200gr,"60,000"
14,Cơm Cháy Siêu Chà Bông,"65,000"
15,Me Lào Xí Muội ,"70,000"
16,Khoai Tây Lắc Rong Biển,"65,000"
17, Cơm CháyChà Bông Trứng Muối,"75,000"
18,Khoai Tây Mắm Ớt,"65,000"
19,Khoai Tây Trứng Muối,"70,000"
20,Chè xoa xoa hạt lựu,"19,000"
21,Kem flan (caramel),"17,000"
22,Chè sâm bổ lượng,"20,000"
23,Chè Thái Có Sầu Riêng,"19,000"
24,Chè Thái Ko Sầu Riêng,"20,000"
25,5 Hộp Kem Plan,"40,000"
26,Yaourt nếp cẩm,"20,000"
27,Yaourt mít,"30,000"
28,Yaourt bơ,"35,000"
29,Yaourt xoài,"30,000"
30,Sinh tố thập cẩm,"25,000"
31,Sinh tố Sapoche,"25,000"
32,Mít sữa dừa,"25,000"
33,Sinh Tố Mãng Cầu,"25,000"
34,Sinh tố xoài,"25,000"
35,Chanh tươi,"20,000"
