,Food,Price
0,XÔI BÁT,"69,000"
1,Xôi Xá Xíu,"50,000"
2,Xôi Gà Xé Xá Xíu,"55,000"
3,Xôi Gà Chiên Nước Mắm ,"55,000"
4,Xôi Gà Xé,"38,000"
5,Xôi Gà Xé Phá Lấu,"55,000"
6,Xôi Xá Xíu Phá Lấu,"55,000"
7,Xôi Sườn Rim Trứng,"55,000"
8,Xôi Lòng Gà Trứng Non,"65,000"
9,Xôi Phá Lấu Trứng Non,"65,000"
10,Xôi Xá Xíu Trứng Non,"65,000"
11,Xôi Thịt Kho Tàu,"55,000"
12,Xôi Phá Lấu,"50,000"
13,Xôi Gà Xé Trứng Non,"65,000"
14,Kim chi ,"5,000"
15,Trứng ốp la ,"10,000"
16,Xôi thêm ,"10,000"
17,Xá xíu ,"30,000"
18,Phá lấu ,"35,000"
19,Sườn rim + trứng cút,"40,000"
20,Lòng gà + trứng non  ,"48,000"
21,Gà xé ,"25,000"
22,Thịt kho tàu thêm,"48,000"
23,Gà Chiên Mắm thêm,"48,000"
