,Food,Price
0,Nhím đa sắc - 6 viên,"28,000"
1,Nhím trứng cá cam- 3v,"14,000"
2,Nhím tôm vàng - 3v,"14,000"
3,Nhím phô mai trứng muối - 3v,"14,000"
4,Nhím 3 màu tự chọn - 3v,"14,000"
5,Nhím răng mực tím - 3v,"14,000"
6,Nhím tomyum hồng - 3viên,"14,000"
7,Nhím gà nướng mật ong - 3v,"14,000"
8,Pepsi,"16,000"
9,Combo Sương Sương + Tặng 01 Pepsi 0đ (Hoặc nước khác),"80,000"
10,Combo Bá Đạo + Tặng 01 Pepsi 0đ (Hoặc nước khác),"90,000"
11,Combo lai rai + Tặng 01 Pepsi 0đ (Hoặc nước khác),"54,000"
12,Combo no nê,"105,000"
13,Combo lai rai,"39,000"
14,Combo bá đạo,"75,000"
15,Combo sương sương,"65,000"
16,Combo Vui Vẻ^^,"99,000"
17,Combo Mini,"30,000"
18,Combo hên xui,"85,000"
19,Combo Ăn Gì Cũng Được,"45,000"
20,Combo Ăn Chay,"44,000"
21,Cá viên- 5 viên,"7,000"
22,Nem chua rán - 4 viên,"16,000"
23,Đậu bắp,"6,000"
24,Bò viên gân - 5v,"8,000"
25,Cá viên sốt mayonnaise- 3v,"13,000"
26,Hoành thánh nhân thịt chiên- 4m,"10,000"
27,Đậu hũ chiên giòn- 6v,"8,000"
28,Đậu hũ phô mai tròn-  2v,"17,000"
29,Xúc xích đức - 1c,"12,000"
30,Sò điệp- 3v,"13,000"
31,Trứng cút- 5v,"10,000"
32,Thanh cua- 1c,"7,000"
33,Hồ lô- 3v,"13,000"
34,Phô mai que- 1c,"12,000"
35,Dồi sụn - 1c,"13,000"
36,Tôm viên- 5v,"7,000"
37,Bánh sữa tươi chiên - 1v,"7,000"
38,Cá viên trứng cút- 3v,"13,000"
39,Chả cá Hàn Quốc - 1m,"8,000"
40,Ốc bươu nhồi- 3v,"13,000"
41,Bánh Bao Tôm Phô Mai (Hàng Nhập) - 1viên,"9,000"
42,Cua viên - 3 viên,"13,000"
43,Bánh gạo sốt CAY -  1 phần,"25,000"
44,Xúc xích lốc xoáy tẩm bột - 1 cây,"16,000"
45,Chả mực xoắn - 4 khoanh,"20,000"
46,Dưa leo cải chua - 1phần,"7,000"
47,Coca-Cola (có tẩy đá),"16,000"
48,Sting đỏ (có tẩy đá),"16,000"
49,Nước tăng lực Bò Húc (có tẩy đá),"20,000"
50,C2 Đào (có tẩy đá),"15,000"
51,Pepsi (có tẩy đá),"16,000"
52,Sting vàng (có tẩy đá),"16,000"
53,C2 dâu anh đào (có tẩy đá),"15,000"
54,Mirinda Việt Quất (có tẩy đá)  ,"16,000"
55,Mirinda Soda Kem (có tẩy đá),"16,000"
