,Food,Price
0,Bạc xỉu,"37,000"
1,Cf sữa,"37,000"
2,Cafe late,"50,000"
3,Cf late mơ hạnh nhân,"47,000"
4,Cf đá,"32,000"
5,Trà sữa ô long kèm topping,"48,000"
6,Trà sữa bá tước kèm topping,"48,000"
7,Ô long sữa dừa kèm topping,"48,000"
8,Cf ủ lạnh cùng cam cháy,"50,000"
9,Đá viên cà phê kem phô mai,"50,000"
10,Cf late cùng quế,"52,000"
11,Cf ủ lạnh với 100% hạt arabica,"43,000"
12,Cf ủ lạnh cùng chanh sả,"50,000"
13,Cà phê ủ lạnh  cùng cam đào,"50,000"
14,Cà phê ủ lạnh cùng vải,"50,000"
15,Trà vải nha đam,"43,000"
16,Trà ổi hồng đào,"43,000"
17,Trà cam đào ,"43,000"
18,Trà cam quế nóng,"43,000"
19,Trà cam quýt,"43,000"
20,Trà sen vàng bọt sữa,"50,000"
21,Latte vani kem phô mai,"50,000"
22,Trà sữa bá tước bọt sữa,"50,000"
23,Cf ủ lạnh bọt sữa,"50,000"
24,Phô mai việt quất đá xay,"59,000"
25,Chocolate đá xay,"59,000"
26,Cf caramel đá xay,"59,000"
27,Chocolate dừa đá xay,"59,000"
28,Golden lava croissant,"17,000"
29,Egg tart,"17,000"
30,Donut with cream cheese,"28,000"
31,Durian flaky pastry,"17,000"
32,Roast pork pastry,"20,000"
33,Pizza thập cẩm,"110,000"
34,Pizza hải sản,"110,000"
35,Pizza gà nấm,"110,000"
