,Food,Price
0,Heo sữa quay 3kg( Trang trí nơ),"1,850,000"
1,Heo Quay Nguyên Con 12 Đến 12kg5,"3,900,000"
2,Heo quay nguyên con 5kg ,"2,300,000"
3,Heo sữa quay nguyên con 1kg5,"1,600,000"
4,Heo sữa quay 2kg5 ,"1,850,000"
5,Heo sữa lớn quay nguyên con - 3kg5,"2,300,000"
6,Heo sữa quay 2kg,"1,700,000"
7,Nửa con heo sữa quay 3kg ,"1,100,000"
8,Vịt quay mật ong ngon hơn nyc nửa con ( chặt miếng),"215,000"
9,Vịt quay mật ong ngon hơn nyc nguyên con,"420,000"
10,Gốc tư vịt quay mật ong ,"110,000"
11,Nửa Con Vịt Sốt Tiêu Đen ,"220,000"
12,Vịt Quay Sốt Tiêu Đen Nguyên Con (Chặt Miếng),"430,000"
13,350g thịt heo quay ba rọi da giòn ,"135,000"
14,Thịt heo quay thịt đùi da giòn 500gram ,"210,000"
15,Thịt heo quay ba rọi da giòn 1kg - để nguyên miếng,"420,000"
16,Thịt heo quay ba rọi  500gram - để nguyên miếng ,"205,000"
17,Xá xíu 500gram ( chặt miếng),"210,000"
18,Thịt đùi quay 300gram + 1 bịch bánh bao hấp,"145,000"
19,Thịt heo quay ba rọi 300gram + 2 Banh Mi,"142,000"
20,Xá xíu 1kg ( để nguyên hoặc chặt miếng),"420,000"
21,Bánh mì,"7,500"
22,Bánh bao chiên 10 chiếc bánh ,"35,000"
23,Bánh bao hấp bịch 10c,"30,000"
24,Dưa leo + ớt thêm,"26,000"
