,Food,Price
0,Ốc dừa Bigsize xào muối cay,"280,000"
1,Ốc dừa Bigsize xào bơ cay,"280,000"
2,Ốc dừa Cồ xào muối cay,"380,000"
3,Ốc cà na,"250,000"
4,Ốc dừa Bigsize xào muối sả,"280,000"
5,Ốc dừa Cồ xào bơ cay,"380,000"
6,Ốc dừa size Trung xào bơ cay,"215,000"
7,Ốc Ngựa,"300,000"
8,Ốc dừa Cồ xào muối sả,"380,000"
9,Ốc Dừa Bigsize Bơ Tỏi,"280,000"
10,Chân gà hấp sả,"150,000"
11,Ốc Dừa Trung Bơ Tỏi,"215,000"
12,Dừa Trung Muối Cay,"215,000"
13,Dừa Trung xào muối sả,"215,000"
14,Càna Tóp Mỡ,"270,000"
15,Dừa Siêu Cồ Bơ Cay,"450,000"
16,Dừa Siêu Cồ Muối Cay,"450,000"
17,Dừa size Mini,"160,000"
18,Chân Gà Rút Xương Ngâm Sả Tắc,"150,000"
19,Dừa Siêu Cồ Sả Ớt,"450,000"
