,Food,Price
0,Combo Vương Gia ,"435,000"
1,Combo Thái Tử ,"350,000"
2,Combo Hoàng Thượng,"625,000"
3,Ốc Hương Sốt Trứng Muối Ngon,"160,000"
4,Ốc Hương  Nướng  Than Hoa,"160,000"
5,Ốc Hương Xào Bơ Tỏi Đậm Đà,"160,000"
6,Ốc Hương Xào Me Chua Ngọt,"160,000"
7,Mực Trứng Hấp Bia ,"170,000"
8,Mực Trứng Chiên Giòn Thơm Ngon ,"170,000"
9,Ốc Móng Tay Xào Bơ Tỏi,"100,000"
10,Ốc Móng Tay Xào Me,"100,000"
11,Ốc Móng Tay Hấp  Xả,"100,000"
12,Nghêu Hấp Thái Vị Cay Ngon,"55,000"
13,Ngao  Xào Bơ Tỏi,"65,000"
14,Ngao Xào Me Dừa ,"65,000"
15,Ốc Bông Trứng Muối Béo Ngậy,"120,000"
16,Ốc Bông Xào Bơ Tỏi,"120,000"
17,Ốc Bông Xào Me,"120,000"
18,Ốc Bông Hấp Mắm,"120,000"
19,Hàu Nướng Mỡ Hành,"65,000"
20,Hàu Nướng Pho Mai,"110,000"
21,Gỏi Hàu,"60,000"
22,Ốc Len Xào Dừa Đặc Biệt,"120,000"
23,Ốc Len Xào Me Dừa ,"120,000"
24,Ốc Len Hấp Mắm,"120,000"
25,Ốc Vặn Luộc To,"40,000"
26,Ốc Mít Hấp Mắm,"70,000"
27,Ốc Vặn Xào Me,"50,000"
28,Ốc Mít Xào Me Chua Ngọt,"90,000"
29,Ốc Lẫn Luộc ,"60,000"
30,Combo Tí hon,"230,000"
31,Ốc Cà Na Hấp Mắm,"100,000"
32,Ốc Cà Na Sốt Bơ Tỏi ,"100,000"
33,Ốc Cà Na Sốt Me Chua Ngọt ,"100,000"
34,Tôm Sú Hấp Bia,"150,000"
35,Tôm Phomai Dứa Thơm Ngon,"165,000"
36,Tôm Sú Rang Me Chua Ngọt,"150,000"
37,Càng Ghẹ Hấp Xả,"135,000"
38,Càng Ghẹ Sốt Me Chua Ngọt,"135,000"
39,Càng Ghẹ Sốt Bơ Tỏi,"135,000"
40,Bề Bề Hấp Xả,"165,000"
41,Bề Bề Rang Me Chua Ngọt,"165,000"
42,Sò Huyết  Cà Mau Nướng Than Hoa,"120,000"
43,Bánh Mì,"10,000"
44,Cút Lộn Xào Me,"65,000"
45,Nem Chua Rán,"65,000"
46,Cút Lộn Luộc,"40,000"
47,Khoai Tây Chiên,"45,000"
48,Cháo Hải Sản,"80,000"
