,Food,Price
0,Trứng Cúc Xào Me Thái,"29,000"
1,Cá Viên Cháy Mắm Tỏi Nhỏ,"85,000"
2,Trứng Cúc Xào Bơ Tỏi,"27,000"
3,Hoành Thánh Thịt Chiên,"18,000"
4,Sửa Tươi Chiên,"27,000"
5,Cá Viên,"13,000"
6,Đậu Phụ Chiên,"13,000"
7,Cá Viên Cháy Mắm Tỏi Lớn,"135,000"
8,Bò Viên,"13,000"
9,Phô Mai Que,"17,000"
10,Tàu Hũ Phô Mai,"28,000"
11,Cá Viên Xào Rau Muống Nhỏ,"85,000"
12,Thanh Cua,"16,000"
13,Tôm Viên,"13,000"
14,Xúc Xích Đức,"16,000"
15,Hồ Lô,"18,000"
16,Cá Viên Xào Sa Tế Nhỏ,"85,000"
17,Đầu Bắp Chiên,"13,000"
18,Tàu Hũ Hải Sản,"28,000"
19,Chả Giò Chiên,"18,000"
20,Cá Viên Xào Rau Muống Lớn,"132,000"
21,Cua Cuộn,"24,000"
22,Cá Viên Xót Chua Ngọt Lớn,"135,000"
23,Mực Cuộn,"25,000"
24,Nui Xào Trứng,"38,000"
25,Nui Xào Thêm,"17,000"
26,Nui Xào Bò Tơ,"55,000"
27,Nui Sao Bò Trứng,"62,000"
28,Nui Xào Xúc Xích Trứng,"50,000"
29,Nuôi Xào Mực,"55,000"
30,Nui Xào Bò Viên,"50,000"
31,Nui Xào Cá Viên,"50,000"
32,Nui Xào Xúc Xích,"50,000"
33,Mì Xào Bò Trứng,"60,000"
34,Mì Xào Thêm,"17,000"
35,Mì Xào Xúc Xích Trứng,"50,000"
36,Mì Xào Trứng Ốp La,"37,000"
37,Mì Xào Bò Tơ,"55,000"
38,Mì Xào Cá Viên,"52,000"
39,Mì Xào Xúc Xích,"50,000"
40,Rau Muống Xào Tỏi,"30,000"
41,Rau Muống Xào Tỏi Đậu Phộng,"39,000"
42,Bông Cúc Đường Phèn Chai,"10,000"
43,Milu Sữa Đá,"18,000"
44,Đá Me,"20,000"
45,Sâm Dứa Sữa,"20,000"
46,Trà Đào,"18,000"
47,7up Lon,"18,000"
48,Pepi Lon,"18,000"
49,Doctor Thanh Chai ,"18,000"
50,Sting Vàng Long,"19,000"
51,Tắc Muối,"20,000"
52,Cafe Sữa Đá,"18,000"
53,Siro Dâu,"18,000"
54,Mirinda Lon,"18,000"
55,Coca Lon,"18,000"
56,Si Rô Mức Dâu ,"20,000"
57,Bò Cụng Lon,"22,000"
58,Sting Đỏ Lon,"19,000"
59,Cafe Đá,"16,000"
60,Chanh Dây,"20,000"
61,Cam Vắt ,"22,000"
